Nzale Verified
la ADJ
Amnesty PROPN
international PROPN
anayefuatilia VERB
mapigano NOUN
hayo ADJ
amesema VERB
kwamba SCONJ
vikosi NOUN
vya ADJ
Tigray PROPN
ndio AUX
vimehusika VERB
na ADP
mauaji NOUN
ya ADJ
mamia NOUN
ya ADJ
watu NOUN
kutoka ADP
kabila NOUN
la ADJ
Amhara PROPN
, PUNCT
katika ADP
mji NOUN
wa ADJ
Mai PROPN
- PUNCT
Kadra PROPN
. PUNCT

Watafiti NOUN
wanaofanya VERB
kazi NOUN
na ADP
shirika NOUN
lisilo AUX
la ADJ
kiserikali ADJ
wamekuwa AUX
wakitumia VERB
picha NOUN
na CCONJ
video NOUN
pamoja SCONJ
na SCONJ
kufanya NOUN
mahojiano NOUN
na CCONJ
watu NOUN
walioshuhudia VERB
matukio NOUN
mbali ADJ
mbali ADJ
kujua NOUN
yanayoendelea VERB
katika ADP
mapigano NOUN
ya ADJ
Tigray PROPN
. PUNCT

Makaburi NOUN
yaongezeka VERB
, PUNCT
maiti NOUN
kando ADP
mwa ADP
barabarani NOUN
Kuna AUX
makaburi NOUN
ambayo ADJ
watu NOUN
wamezikwa VERB
katika ADP
siku NOUN
za ADJ
karibuni ADJ
, PUNCT
katika ADP
sehemu NOUN
yalipo VERB
makanisa NOUN
, PUNCT
mjini NOUN
Mai PROPN
- PUNCT
Kadra PROPN
. PUNCT

Maiti NOUN
wametapakaa VERB
kando ADP
mwa ADP
barabara NOUN
na CCONJ
kuanza NOUN
kuoza NOUN
, PUNCT
magharibi ADP
mwa ADP
Tigray PROPN
. PUNCT

Mtafiti NOUN
wa ADJ
shirika NOUN
la ADJ
Amnesty PROPN
international PROPN
nchini NOUN
Ethiopia PROPN
na CCONJ
Eritrea PROPN
Fisseha PROPN
Tekle PROPN
, PUNCT
ameliambia VERB
shirika NOUN
la ADJ
habari NOUN
la ADJ
AFP PROPN
kwamba SCONJ
wanajeshi NOUN
wa ADJ
Tigray PROPN
walishindwa VERB
katika ADP
vita NOUN
vilivyotokea VERB
adhuhuri ADV
Novemba ADV
9 NUM
nje ADP
ya ADP
mji NOUN
wa ADJ
Mai PROPN
Kadra PROPN
, PUNCT
na CCONJ
kuondoka NOUN
sehemu NOUN
hiyo ADJ
hadi ADP
katika ADP
mji NOUN
wa ADJ
Mai PROPN
Kadra PROPN
. PUNCT

Amesema VERB
kwamba SCONJ
mauaji NOUN
makubwa ADJ
yalitokea VERB
mjini ADV
humo ADJ
na CCONJ
mamia ADJ
ya ADJ
watu NOUN
wamepoteza VERB
maisha NOUN
. PUNCT

Tumezungumza VERB
na ADP
waathirika NOUN
, PUNCT
wengine ADJ
wao PRON
wamekimbilia VERB
Gondar PROPN
, PUNCT
na CCONJ
waliojeruhiwa VERB
wanapatiwa VERB
matibabu NOUN
katika ADP
hospitali NOUN
ya ADJ
Gondar PROPN
. PUNCT

Wametuambia VERB
kwamba SCONJ
wapiganaji NOUN
wa ADJ
utawala NOUN
huo ADJ
na CCONJ
makundi NOUN
ya ADJ
vijana NOUN
kutoka ADP
jamii NOUN
ya ADJ
Tigray PROPN
walikuwa AUX
wanawalenga VERB
watu NOUN
wa ADJ
Amhara PROPN
. PUNCT
Amesema VERB
Fisseha PROPN
Tekle PROPN
. PUNCT

Haya PRON
ndio AUX
mapigano NOUN
mabaya ADJ
zaidi ADJ
kuwahi AUX
kutokea NOUN
dhidi SCONJ
ya SCONJ
raia NOUN
katika ADP
vita NOUN
vinavyoendelea VERB
kaskazini ADP
mwa ADP
Ethiopia ADV
. PUNCT

Utawala NOUN
wa ADJ
Abiy PROPN
wafutilia VERB
mbali ADV
madai NOUN
ya ADJ
Serikali NOUN
ya ADJ
waziri NOUN
mkuu NOUN
Abiy PROPN
Ahmed PROPN
imefutilia VERB
mbali VERB
madai NOUN
hayo ADJ
na CCONJ
kuendelea NOUN
kushambulia NOUN
utawala NOUN
wa ADJ
eneo NOUN
la ADJ
Tigray PROPN
. PUNCT

Wakimbizi NOUN
wa ADJ
Tigray PROPN
waliokimbilia VERB
Sudan PROPN
kutoka ADP
Mai PROPN
- PUNCT
Kadra PROPN
, PUNCT
wanasema VERB
kwamba SCONJ
vikosi NOUN
vya ADJ
serikali NOUN
ndivyo ADV
vilivyotekeleza VERB
mauaji NOUN
hayo ADJ
wakati ADV
waliposhambulia VERB
mji NOUN
huo ADJ
wenye ADJ
wakaazi NOUN
40,000 NUM
. PUNCT

Kiongozi NOUN
mpya ADJ
wa ADJ
Mai PROPN
Kadra PROPN
, PUNCT
Fentahun PROPN
Bihohegn PROPN
amesema VERB
kwamba SCONJ
Mashambulizi NOUN
hayo ADJ
ni AUX
ya ADJ
kikabila ADJ
. PUNCT

Mauaji NOUN
mabaya ADJ
ya ADJ
kikabila ADJ
yamefanyika VERB
dhidi SCONJ
ya SCONJ
watu NOUN
wa ADJ
Amhara PROPN
. PUNCT

Nimeshuhudia VERB
jehanamu NOUN
hapa ADV
Mai ADV
- PUNCT
Kadra NOUN
. PUNCT

Vikosi NOUN
vya ADJ
serikali NOUN
vyazingira VERB
Tigray PROPN
Magari NOUN
ya ADJ
kijeshi ADJ
na CCONJ
silaha NOUN
nzito ADJ
vinaripotiwa VERB
kuzingira NOUN
mji NOUN
mkuu ADJ
wa ADJ
Tigray PROPN
ambapo ADJ
Abiy PROPN
ametishia VERB
kutekeleza NOUN
mashambulizi NOUN
mabaya ADJ
ya ADJ
mwisho ADJ
iwapo SCONJ
wapiganaji NOUN
wa ADJ
eneo NOUN
hilo ADJ
hawatajisalimisha VERB
. PUNCT

Waliokuwa AUX
marais NOUN
watatu ADJ
wa ADJ
nchi NOUN
za ADJ
Afrika PROPN
wamefika VERB
Addis PROPN
Ababa PROPN
, PUNCT
kujaribu NOUN
kufanya NOUN
mazungumzo NOUN
kumaliza NOUN
vita NOUN
hivyo ADJ
. PUNCT

Kiongozi NOUN
wa ADJ
sera NOUN
ya ADJ
mambo NOUN
ya ADJ
nje NOUN
wa ADJ
umoja NOUN
wa ADJ
ulaya NOUN
ameonya VERB
kwamba SCONJ
mapigano NOUN
ya ADJ
Ethiopia PROPN
yanayumbisha VERB
eneo ADV
zima ADV
la ADJ
Afrika ADV
mashariki ADV
. PUNCT
Jamii NOUN
ya ADJ
kimataifa ADJ
imekuwa AUX
ikisistiza VERB
kufanyika NOUN
mazungumzo NOUN
na CCONJ
kumaliza NOUN
vita NOUN
hivyo ADJ
. PUNCT

Imetayarishwa VERB
na PART
Kennes PROPN
Bwire PROPN
, PUNCT
VOA PROPN
, PUNCT
Washington PROPN
DC PROPN
Idadi NOUN
ya ADJ
watu NOUN
wanaoambukizwa VERB
ugonjwa NOUN
wa ADJ
COVID-19 PROPN
barani ADV
Afrika ADV
inakaribia VERB
milioni ADV
moja ADV
wiki ADV
hii ADJ
, PUNCT
huku CCONJ
Afrika ADV
Kusini ADV
ikwa AUX
nchi NOUN
yenye ADJ
idadi NOUN
kubwa ADJ
zaidi ADV
ya ADJ
wagonjwa NOUN
wanaofikia VERB
nusu ADV
milioni ADV
. PUNCT

Maafisa NOUN
wa ADJ
Shirika NOUN
la ADJ
Afya NOUN
Duniani NOUN
( PUNCT
WHO PROPN
) PUNCT
wanasema VERB
wanapeleka VERB
timu NOUN
ya ADJ
wataalamu NOUN
huko ADJ
Afrika ADV
hivi ADV
karibuni ADV
wakati ADV
waziri NOUN
wa ADJ
afya NOUN
akionya VERB
kwamba SCONJ
nchi NOUN
yake ADJ
inaweza VERB
kushuhudia NOUN
wimbi NOUN
la ADJ
pili ADJ
la ADJ
Maambukizi NOUN
. PUNCT

Miezi NOUN
mitano ADJ
baada ADP
ya ADP
mtu NOUN
wa ADJ
kwanza ADJ
kupimwa NOUN
na CCONJ
kupatikana NOUN
na ADP
virusi NOUN
vya ADJ
corona PROPN
huko ADJ
Afrika PROPN
, PUNCT
bara NOUN
hilo ADJ
lingali VERB
na PART
idadi NOUN
ndogo ADJ
zaidi ADV
ya ADJ
wagonjwa NOUN
ukilinganisha VERB
na PART
mabara NOUN
mengine ADJ
ya ADJ
dunia NOUN
ikiwa VERB
na PART
asilimia NOUN
5 NUM
tu ADV
ya ADJ
wagonjwa NOUN
wote ADJ
milioni ADJ
4 NUM
laki ADJ
9 NUM
hii ADV
leo ADV
. PUNCT

Dkt NOUN
Matshiodisho PROPN
Moeti PROPN
mkurungezi NOUN
wa ADJ
kanda NOUN
ya ADJ
Afrika PROPN
kwa ADP
niaba ADP
ya ADP
WHO PROPN
anasema VERB
maafisa NOUN
wa ADJ
bara NOUN
hilo ADJ
wana AUX
wasiwasi NOUN
kuhusiana NOUN
na ADP
kitovu NOUN
cha ADJ
sasa ADV
cha ADJ
Maambukizi NOUN
Afrika PROPN
Kusini NOUN
na CCONJ
bara NOUN
zima ADJ
kwa ADP
ujumla NOUN
wakati ADV
idadi NOUN
inakaribia VERB
milioni ADJ
moja ADJ
. PUNCT

Dkt NOUN
Moeti PROPN
anafafanua VERB
: PUNCT

Inaanza VERB
kudhihirika NOUN
kwamba SCONJ
tutaishi VERB
na ADP
virusi NOUN
hivi ADJ
kwa ADP
muda NOUN
mrefu ADJ
. PUNCT

Kuna AUX
karibu ADV
wagonjwa NOUN
milioni ADJ
moja ADJ
walioripotiwa VERB
Afrika ADV
, PUNCT
na CCONJ
zaidi SCONJ
ya SCONJ
elfu ADV
21 NUM
kwa ADP
usikitifu NOUN
wamefariki VERB
. PUNCT

Afrika PROPN
kusini PROPN
inaendelea VERB
kuwa AUX
nchi NOUN
inaoathirika VERB
zaidi ADJ
barani NOUN
humo ADJ
ikiwa VERB
ni AUX
ya ADJ
tano ADJ
duniani NOUN
kote ADJ
. PUNCT

Kwa ADP
kushirikiana NOUN
na CCONJ
wizara NOUN
yake ADJ
ya ADJ
afya NOUN
tunawapeleka VERB
waatalam NOUN
40 NUM
kuisaidia NOUN
nchi NOUN
hiyo ADJ
. PUNCT

Pia SCONJ
amesema VERB
waatalamu NOUN
wa ADJ
afya NOUN
wana VERB
wasiwasi NOUN
kutokana SCONJ
na SCONJ
uwezekano NOUN
wa ADJ
idadi NOUN
kuwa AUX
kubwa ADJ
zaidi ADV
kuliko SCONJ
ilivyo VERB
hivi ADV
sasa ADV
kwa ADP
sababu ADP
ya ADP
ukosefu NOUN
wa ADJ
vifaa NOUN
vya ADJ
kupima NOUN
na CCONJ
vizingiti NOUN
vingine ADJ
. PUNCT

Mkurugenzi NOUN
wa ADJ
WHO PROPN
wa ADJ
Kanda NOUN
ya ADJ
Afrika PROPN
anaongeza VERB
kuwa SCONJ
: PUNCT

Moja ADJ
kati SCONJ
ya SCONJ
changamoto NOUN
kubwa ADJ
inayotia VERB
wasiwasi NOUN
katika ADP
nchi NOUN
nyingi ADJ
za ADJ
afrika PROPN
ni AUX
upungufu NOUN
wa ADJ
vyombo NOUN
vya ADJ
kupima NOUN
watu KWA SABABU,ajili means for the sake
kwa ADP
ajili ADP
ya ADP
Covid-19 PROPN
. PUNCT

Wakati NOUN
huo ADJ
huo ADJ
kuna AUX
baadhi SCONJ
ya SCONJ
nchi NOUN
zilizoimarisha VERB
uwezo NOUN
wao ADJ
wa ADJ
kupima NOUN
na CCONJ
hivyo ADV
kupunguza NOUN
maambukizi NOUN
kama ADP
vile ADP
Mauritius PROPN
, PUNCT
Rwanda PROPN
, PUNCT
cape PROPN
Verde PROPN
na CCONJ
Botswana PROPN
. PUNCT

Waziri NOUN
wa ADJ
afya NOUN
wa ADJ
Afrika PROPN
kusini PRORN
Dkt NOUN
Zweli PROPN
Mkhize PROPN
anasema VERB
masharti NOUN
makali NOUN
ya ADJ
kusitisha NOUN
shughuli NOUN
zote ADJ
mnamo ADV
wiki NOUN
9 NUM
zimesaidia VERB
kupunguza NOUN
kasi NOUN
ya ADJ
maambukizo NOUN
lakini CCONJ
anasema VERB
Ikiwa SCONJ
nchi NOUN
hiyo ADJ
haitaendelea VERB
na PART
juhudi NOUN
zake ADJ
basi ADV
wimbi NOUN
la ADJ
pili ADJ
liko VERB
karibu ADV
. PUNCT

Nchini NOUN
Rwanda PROPN
waziri NOUN
wa ADJ
afya NOUN
anasema VERB
maafisa NOUN
wanatafuta VERB
njia NOUN
mpya ADJ
za ADJ
kutibu NOUN
wagonjwa NOUN
na CCONJ
kuwa AUX
na ADP
mpango NOUN
wa ADJ
kuwa AUX
tayari ADV
kitaifa ADJ
ambao ADJ
hadi ADP
sasa ADV
umegharimu VERB
dola ADV
milioni ADV
73 NUM
. PUNCT

Imetayarishwa VERB
na PART
Mwandishi NOUN
wetu ADJ
, PUNCT
Abdushakur PROPN
Aboud PROPN
, PUNCT
Washington PROPN
, PUNCT
DC PROPN
. PUNCT

Kanisa NOUN
Katoliki NOUN
nchini ADV
Kenya PROPN
linaitaka VERB
serikali NOUN
kusimamisha NOUN
mpango NOUN
wake ADJ
wa ADP
kufunga NOUN
kambi NOUN
za ADJ
wakimbizi NOUN
za ADJ
Dadaab PROPN
na CCONJ
Kakuma PROPN
na CCONJ
kuendelea NOUN
kuwapa NOUN
hifadhi NOUN
wakimbizi NOUN
hao ADJ
. PUNCT

Kanisa NOUN
limesema VERB
wakimbizi NOUN
hao ADJ
zaidi SCONJ
ya SCONJ
5,000 NUM
kutoka ADP
mataifa NOUN
15 NUM
wanaoishi VERB
nchini ADV
humo ADJ
, PUNCT
itakuwa VERB
ni AUX
hatari NOUN
kubwa ADJ
kwa ADP
usalama NOUN
wao ADJ
endapo SCONJ
watarejea VERB
katika ADP
mataifa NOUN
yao ADJ
. PUNCT

Ombi NOUN
hili ADJ
linatolewa VERB
siku ADV
chache ADV
baada ADP
ya ADP
mahakama NOUN
nchini ADV
humo ADJ
kusitisha NOUN
utekelezaji NOUN
wa ADJ
agizo NOUN
la ADJ
serikali NOUN
ya ADJ
Rais NOUN
Uhuru PROPN
Kenyatta PROPN
kutaka NOUN
kuzifunga VERB
kambi NOUN
hizo ADJ
hadi ADP
kesi NOUN
iliyowasilishwa VERB
mahakamani ADV
isikilizwe VERB
na CCONJ
kutolewa NOUN
maamuzi NOUN
. PUNCT

Kanisa NOUN
Katoliki NOUN
linasema VERB
kufunga NOUN
kambi NOUN
za ADJ
wakimbizi NOUN
za ADJ
Dadaab PROPN
na CCONJ
Kakuma PROPN
zilizo VERB
na PART
zaidi SCONJ
ya SCONJ
watu NOUN
5,000 NUM
wanaohitaji VERB
hifadhi NOUN
wakati ADV
huu ADJ
wa ADJ
janga NOUN
la ADJ
virusi NOUN
vya ADJ
Corona PROPN
ni AUX
kuongeza NOUN
matatizo NOUN
mengine ADJ
na CCONJ
hasa ADV
kwa ADP
taifa NOUN
kama SCONJ
Kenya PROPN
lililo VERB
katika ADP
makubaliano NOUN
ya ADJ
kimataifa ADJ
kulinda NOUN
haki NOUN
za ADJ
binadamu NOUN
, PUNCT
kwani SCONJ
kufanya NOUN
hivyo ADV
kutawaweka NOUN
katika ADP
mateso NOUN
na CCONJ
hatari NOUN
isiyoweza VERB
kuepukika NOUN
. PUNCT

Muungano NOUN
wa ADJ
Maaskofu NOUN
wa ADJ
Kanisa NOUN
hilo ADJ
unaeleza VERB
, PUNCT
kupitia NOUN
taarifa NOUN
kwa ADP
vyombo NOUN
vya ADJ
habari NOUN
, PUNCT
kuwa SCONJ
kwa SCONJ
sababu SCONJ
uamuzi NOUN
wa ADJ
Kenya PROPN
kufunga NOUN
kambi NOUN
hizo ADJ
ni AUX
kinyume SCONJ
cha SCONJ
sheria NOUN
za ADJ
kimataifa ADJ
, PUNCT
serikali NOUN
ya ADJ
Rais NOUN
Kenyatta PROPN
haiwezi VERB
kufanya NOUN
hivyo ADV
kwa SCONJ
sababu SCONJ
wanaotafuta VERB
hifadhi NOUN
katika ADP
kambi NOUN
za ADJ
wakimbizi NOUN
za ADJ
Dadaab PROPN
na CCONJ
Kakuma PROPN
, PUNCT
hawafahamu VERB
iwapo SCONJ
nchi NOUN
zao ADJ
ni AUX
salama ADJ
kurejea NOUN
. PUNCT

Askofu NOUN
Mkuu NOUN
Philip PROPN
Anyolo PROPN
, PUNCT
ameeleza VERB
katika ADP
taarifa NOUN
yake ADJ
, PUNCT
kuwa SCONJ
wakimbizi NOUN
waliopo AUX
katika ADP
kambi NOUN
hizo ADJ
, PUNCT
hawawezi VERB
kuhakikishiwa NOUN
usalama NOUN
wa ADJ
kutosha NOUN
kwa SCONJ
sababu SCONJ
bado ADV
kuna AUX
mapigano NOUN
na CCONJ
vitisho NOUN
vingine ADJ
vya ADJ
usalama NOUN
katika ADP
mataifa NOUN
hayo ADJ
. PUNCT

Zaidi SCONJ
ya SCONJ
wiki NOUN
mbili ADV
zilizopita VERB
, PUNCT
waziri NOUN
wa ADJ
usalama NOUN
wa ADJ
ndani NOUN
nchini ADV
Kenya PROPN
Fred PROPN
Matiang'i PROPN
ameeleza VERB
kuwa SCONJ
serikali NOUN
ya ADJ
Kenya PROPN
inapania VERB
kufunga NOUN
kambi NOUN
hizo ADJ
na CCONJ
kulitaka NOUN
shirika NOUN
la ADJ
Umoja NOUN
wa ADJ
Mataifa NOUN
la ADJ
kuwahudumia NOUN
wakimbizi NOUN
UNHCR PROPN
kutoa NOUN
utaratibu NOUN
wa ADP
kufunga NOUN
kambi NOUN
hizo ADJ
haraka ADV
iwezekanavyo ADV
kwa ADP
kile PRON
serikali NOUN
ilichokitaja VERB
kuwa AUX
ni AUX
ukosefu NOUN
wa ADJ
usalama NOUN
na CCONJ
changamoto NOUN
za ADJ
kiuchumi ADJ

Bila SCONJ
ushahidi NOUN
, PUNCT
Kenya PROPN
imekuwa AUX
ikieleza VERB
kuwa SCONJ
mashambulizi NOUN
ya ADJ
kigaidi ADJ
ambayo ADJ
yamekuwa AUX
yakiripotiwa VERB
nchini ADV
mwake ADV
yanasadikiwa VERB
kupangwa NOUN
na ADP
wanamgambo NOUN
wa ADJ
Al PROPN
- PUNCT
Shabab PROPN
wanaoaminika VERB
kupata NOUN
himaya NOUN
katika ADP
kambi NOUN
za ADJ
wakimbizi NOUN
za ADJ
Dadaab PROPN
na CCONJ
Kakuma PROPN
. PUNCT

Hata SCONJ
hivyo SCONJ
, PUNCT
Kenya PROPN
imekataa VERB
mpango NOUN
wa ADJ
UNHCR PROPN
wa ADJ
kufunga NOUN
kambi NOUN
hizo ADJ
kwa ADP
utaratibu NOUN
utakaochukua VERB
zaidi SCONJ
ya SCONJ
mwaka NOUN
moja ADJ
na CCONJ
badala ADV
yake PRON
kulitaka NOUN
shirika NOUN
hilo ADJ
kuweka NOUN
utaratibu NOUN
wa ADJ
haraka ADJ
wa ADP
kufunga NOUN
kambi NOUN
hizo ADJ
. PUNCT

Shirika NOUN
hilo ADJ
limeeleza VERB
kuwa SCONJ
linafaa VERB
kupewa NOUN
muda NOUN
zaidi ADJ
kuwahamisha NOUN
wakimbizi NOUN
wengine ADJ
waliopo AUX
katika ADP
kambi NOUN
za ADJ
Dadaab PROPN
na CCONJ
Kakuma PROPN
katika ADP
nchi NOUN
jirani ADJ
kama ADP
vile ADP
Sudan PROPN
Kusini PROPN
na CCONJ
Ethiopia PROPN
au ADJ
hata ADP
Amerika PROPN
na CCONJ
Canada PROPN
, PUNCT
iwapo SCONJ
litalazimika VERB
kufanya NOUN
hivyo ADV
. PUNCT

Mahakama NOUN
kuu ADJ
nchini ADV
Kenya PROPN
tayari ADV
imesitisha VERB
hatua NOUN
za ADJ
Kenya PROPN
kufunga NOUN
kambi NOUN
hizo ADJ
ikisubiriwa VERB
kusikilizwa NOUN
kwa ADP
kesi NOUN
inayopinga VERB
agizo NOUN
hilo ADJ
iliyowasilishwa VERB
na PART
raia NOUN
wa ADJ
Kenya PROPN
Peter PROPN
Gichira PROPN
anayetaka ADJ
mahakama NOUN
kufutilia NOUN
mbali ADV
kauli NOUN
ya ADJ
kufungwa NOUN
kwa ADP
sababu ADP
ya ADP
kile PRON
anachokitaja VERB
kuwa DET
ni AUX
kinyume ADV
cha ADJ
katiba NOUN
ya ADJ
Kenya PROPN
. PUNCT

Kenya PROPN
imeonekana VERB
kughadhabishwa NOUN
na ADP
jumuiya NOUN
ya ADJ
kimataifa ADJ
hasa ADV
kwa ADP
kutounga NOUN
mkono NOUN
juhudi NOUN
zake ADJ
za ADJ
kuliorodhesha VERB
kundi NOUN
la ADJ
Al PROPN
- PUNCT
Shabab PROPN
kuwa AUX
haramu NOUN
na ADP
Umoja NOUN
wa ADJ
Mataifa NOUN
, PUNCT
kwa ADP
madai NOUN
kuwa SCONJ
kufanya NOUN
hivyo ADV
ni AUX
kudidimiza VERB
harakati NOUN
za ADJ
kuwafikia NOUN
waathirika NOUN
wa ADJ
machafuko NOUN
nchini ADV
Somalia PROPN
. PUNCT

Kenya PROPN
imekuwa AUX
ikiwapa VERB
makaazi NOUN
wakimbizi NOUN
hawa ADJ
kwa ADV
miaka ADV
30 NUM
sasa ADV
na CCONJ
pametajwa VERB
kuwa SCONJ
makubaliano NOUN
ya ADJ
pande NOUN
tatu ADJ
yanayoihusisha VERB
Kenya PROPN
, PUNCT
Somalia PROPN
na CCONJ
UNHCR PROPN
yamekuwa AUX
yakitekelezwa VERB
kwa ADP
mwendo NOUN
wa ADJ
kasi NOUN
. PUNCT

George PROPN
Musamali PROPN
, PUNCT
mfuatiliaji NOUN
wa ADJ
masuala NOUN
ya ADJ
usalama NOUN
katika ADP
mataifa NOUN
ya ADJ
Pembe NOUN
ya ADJ
Afrika PROPN
, PUNCT
anaeleza VERB
kuwa SCONJ
dhana NOUN
ya ADJ
Kenya PROPN
kusema NOUN
kuwa SCONJ
kambi NOUN
hizi ADJ
ni AUX
vitovu NOUN
vya ADJ
upangaji NOUN
mashambulizi NOUN
ya ADJ
kigaidi ADJ
hazina VERB
msingi NOUN
. PUNCT

Mnamo ADV
Novemba ADV
2013 NUM
, PUNCT
Mkataba NOUN
wa ADJ
pande NOUN
tatu ADJ
ulitiwa VERB
sahihi ADV
na CCONJ
serikali NOUN
ya ADJ
Kenya PROPN
, PUNCT
Somalia PROPN
na CCONJ
UNHCR PROPN
kuanza NOUN
kutekeleza NOUN
utaratibu NOUN
wa ADP
kuwarudisha NOUN
kwa ADP
hiari NOUN
wakimbizi NOUN
nchini ADV
Somalia PROPN
. PUNCT

Mnamo ADV
Desemba ADV
8 NUM
, PUNCT
2014 NUM
, PUNCT
kundi NOUN
la ADJ
kwanza ADJ
lilikubali VERB
kurudi NOUN
Somalia PROPN
na CCONJ
mpaka ADV
sasa ADV
mchakato NOUN
huo ADJ
umewarejesha VERB
nyumbani ADV
raia NOUN
wa ADJ
Somalia PROPN
wapatao VERB
85,670 NUM
. PUNCT

Kenya PROPN
na CCONJ
UNHCR PROPN
zinatarajiwa VERB
kufanya NOUN
mazungumzo NOUN
mengine ADJ
ya ADP
kufikia NOUN
muafaka NOUN
wa ADJ
kufunga NOUN
kambi NOUN
hizo ADJ
. PUNCT

Imetayarishwa VERB
na PART
mwandishi NOUN
wetu ADJ
, PUNCT
Kennedy PROPN
Wandera PROPN
, PUNCT
Nairobi PROPN
, PUNCT
Kenya PROPN
. PUNCT

Leo ADV
ni AUX
Sikukuu NOUN
ya ADJ
Eid PROPN
el ADJ
Hajj PROPN
kwa ADP
Waislam NOUN
duniani NOUN
. PUNCT

Mataifa NOUN
mengi ADJ
duniani ADV
yanaadhimisha VERB
sikukuu NOUN
hii ADJ
kwa ADP
kuchukua NOUN
tahadhari NOUN
ya ADP
kuepuka NOUN
mikusanyiko NOUN
na CCONJ
pia ADV
watu NOUN
wanasheherekea VERB
katika ADP
familia NOUN
zao ADJ
. PUNCT

Wakati NOUN
huohuo ADJ
Mahujaji NOUN
nchini ADV
Saudi PROPN
Arabia PROPN
wamemaliza VERB
kufanya NOUN
ibada NOUN
ya ADJ
kuzunguka NOUN
Al PROPN
- PUNCT
Kaaba NOUN
mara ADV
saba ADJ
, PUNCT
kufuatia NOUN
siku NOUN
ya ADJ
kwanza ADJ
ya ADJ
kumbukumbu NOUN
ya ADJ
ibada NOUN
ya ADJ
kurusha NOUN
vijiwe NOUN
kumpiga VERB
sheitani NOUN
iliyofanyika VERB
Ijumaa ADV
ambayo ADJ
pia ADV
ni AUX
sikukuu NOUN
ya ADJ
Eid PROPN
el ADJ
Hajj PROPN
inayohusisha VERB
ibada NOUN
ya ADJ
kuchinja NOUN
mnyama NOUN
na CCONJ
watu NOUN
kukusanyika NOUN
misikitini NOUN
kusali NOUN
sala NOUN
ya ADJ
Eid PROPN
. PUNCT

Katika ADP
baadhi SCONJ
ya SCONJ
nchi NOUN
Waislam NOUN
wanasali VERB
majumbani ADV
na CCONJ
sehemu NOUN
nyingine ADJ
misikiti NOUN
imeweka VERB
utaratibu NOUN
maalum ADJ
wa ADP
kuruhusu NOUN
idadi NOUN
ndogo ADJ
tu ADV
kuhudhuria NOUN
ibada NOUN
hiyo ADJ
. PUNCT

Ikiwa SCONJ
ni AUX
sehemu NOUN
ya ADJ
ibada NOUN
ya ADJ
Hija NOUN
kila ADV
mwaka ADV
, PUNCT
Waislam NOUN
wanavaa VERB
nguo NOUN
nyeupe ADJ
kwa ADP
ajili ADP
ya ADP
kuonyesha NOUN
umuhimu NOUN
wa ADJ
unadhifu NOUN
, PUNCT
wanapiga VERB
vijiwe NOUN
katika ADP
kuta NOUN
kubwa ADJ
ikiwa VERB
ni AUX
ishara NOUN
ya ADJ
kumfukuza NOUN
shetani NOUN
kabla ADP
ya ADP
kwenda ADV
kuzunguka NOUN
Kaaba NOUN
, PUNCT
ibada NOUN
inayojulikana VERB
kama SCONJ
Tawaf PROPN
, PUNCT
katika ADP
msikiti NOUN
wa ADJ
Makka PROPN
. PUNCT

Waislam NOUN
hao ADJ
waliokuwa AUX
wamevaa VERB
barakoa NOUN
wanazunguka VERB
nyumba NOUN
takatifu ADJ
ya ADJ
Kaaba NOUN
- PUNCT
ni AUX
jiwe NOUN
lililowekwa VERB
ambalo ADJ
ni AUX
takatifu ADJ
kuliko SCONJ
mawe NOUN
yote ADJ
katika ADP
Uislam NOUN
. PUNCT

Kaaba NOUN
ndiko ADJ
Waislam NOUN
wote ADJ
wanaelekea VERB
kwa ADP
ajili ADP
ya ADP
kufanya NOUN
ibada NOUN
kila ADV
siku ADV
. PUNCT

Katika ADP
kuzunguka NOUN
Kaaba NOUN
wako PRON
katika ADP
makundi NOUN
ya ADJ
watu NOUN
50 NUM
, PUNCT
kila ADV
mmoja PRON
akikaa VERB
mbali ADP
na ADP
mwenzie NOUN
na CCONJ
wakiwa AUX
wameambatana VERB
na PART
wataalam NOUN
wa ADJ
afya NOUN
ambao ADJ
wanaangalia VERB
mwenendo NOUN
wao PRON
iwapo SCONJ
unafuata VERB
utaratibu NOUN
wa ADJ
afya NOUN
uliowekwa VERB
. PUNCT

Kwa ADV
mara ADV
ya ADV
kwanza ADV
katika ADP
zama NOUN
hizi ADJ
za ADJ
leo ADV
, PUNCT
katikati ADP
ya ADP
juhudi NOUN
zinazoendelea VERB
kujikinga NOUN
na ADP
maambukizi NOUN
ya ADJ
COVID-19 PROPN
, PUNCT
Waislam NOUN
nje ADP
ya ADP
Saudi PROPN
Arabia PROPN
hawakuweza VERB
kuhudhuria NOUN
ibada NOUN
ya ADJ
Hijja NOUN
. PUNCT

Mwaka NOUN
huu ADJ
ibada NOUN
ya ADJ
hija NOUN
imehudhuriwa VERB
na PART
watu NOUN
wapatao ADV
1,000 NUM
ambao ADJ
wanaishi VERB
Saudi PROPN
Arabia PROPN
, PUNCT
asilimia NOUN
70 NUM
kati SCONJ
yao SCONJ
ni AUX
wakazi NOUN
wageni NOUN
wanaofanya VERB
kazi NOUN
katika ADP
