undiacritized	diacritized
Karis & Eleos ati Coca-Cola fẹẹ da awọn obinrin lokoowo lEkoo	Karis & Eleos àti Coca-Cola fẹ́ẹ́ dá àwọn obìnrin lókoòwò l’Ékòó
Lati dẹkun iṣẹ ati iyan to gba igboro kan, paapaa nipa ajakalẹ arun Korona to si n ja lọwọ kaakiri agbaye, ajọ aladaani kan, ti wọn pe ni Karis and Eleos Hand of Hope Foundation pẹlu ajọṣepọ ileeṣẹ ijọba apapọ to n ro awọn onileeṣẹ keekeke lagbara, iyẹn Small and Medium Enterprises Development Agency of Nigeria (SMEDAN) pẹlu ileeṣẹ to n pọn ọti ẹlẹrindodo ni, Coca-Cola ti ṣetan ati ran ẹgbẹrun marun un obinrin lọwọ.	Láti dẹ́kun ìṣẹ́ àti ìyàn tó gba ìgboro kan, pàápàá nípa àjàkálẹ̀ àrùn Kòrónà tó sì ń jà lọ́wọ́ káàkiri àgbáyé, àjọ aládàáni kan, tí wọ́n pè ní Karis and Eleos Hand of Hope Foundation pẹ̀lú àjọṣepọ̀ iléeṣẹ́ ìjọba àpapọ̀ tó ń ró àwọn oníléeṣẹ́ kéèkèké lágbára, ìyẹn Small and Medium Enterprises Development Agency of Nigeria (SMEDAN) pẹ̀lú iléeṣẹ́ tó ń pọn ọtí ẹlẹ́rìndòdò ní, Coca-Cola ti ṣetán àti ran ẹgbẹ̀rún márùn ún obìnrin lọ́wọ́.
Nibi eto kan to waye lọjọ Satide ni Onikẹ, Yaba lEkoo ni oludasilẹ ajọ naa, Bukọla Bamiduro ti ṣe e lalaye pe awọn ẹgbẹrun marun un obinrin to ku diẹ kaato fun lajọ oun, iyẹn Karis and Eleos Hand of Hope Foundation fẹẹ ran lọwọ.	Níbi ètò kan tó wáyé lọ́jọ́ Sátidé ni Oníkẹ̀, Yábà l’Ékòó ni olùdásílẹ̀ àjọ náà, Bùkọ́lá Bámidúró ti ṣe é lálàyé pé àwọn ẹgbẹ̀rún márùn ún obìnrin tó kù díẹ̀ káàtó fún làjọ òun, ìyẹn Karis and Eleos Hand of Hope Foundation fẹ́ẹ́ ràn lọ́wọ́.
Ileeṣẹ Coca-Cola ati SMEDAN lo si fẹẹ ṣagbatẹru iranlọwọ ọhun.	Iléeṣẹ́ Coca-Cola àti SMEDAN ló sì fẹ́ẹ́ ṣagbátẹrù ìrànlọ́wọ́ ọ̀hún.
Bamiduro ni, ẹgbẹrun marun obinrin lawọn ti mu lati awọn agbegbe marun un.	Bámidúró ní, ẹgbẹ̀rún márùn obìnrin làwọn ti mú láti àwọn àgbègbè márùn ún.
Awọn agbegbe naa ni; Iwaya, Oworonṣoki, Ṣangotẹdo, Magboro ati Ogijo.	Àwọn àgbègbè náà ni; Ìwàyà, Òwòrònṣòkí, Ṣàngótẹ̀dó, Mágbòrò àti Ògìjo.
Bẹẹ lo tun sọ pe ẹgbẹrun kọọkan lawọn maa mu lati agbegbe kọọkan lati da lokoowo, bẹẹ ni wọn si tun maa kọ wọn niṣẹ ọwọ.	Bẹ́ẹ̀ ló tún sọ pé ẹgbẹ̀rún kọ̀ọ̀kan làwọn máa mú láti àgbègbè kọ̀ọ̀kan láti dá lókoòwò, bẹ́ẹ̀ ni wọ́n sì tún máa kọ́ wọn níṣẹ́ ọwọ́.
Oṣu kẹjọ yii leto ọhun maa bẹrẹ, bẹẹ ni wọn si maa ṣe e foṣu marun.	Oṣù kẹjọ yìí lètò ọ̀hún máa bẹ̀rẹ̀, bẹ́ẹ̀ ni wọ́n sì máa ṣe é fóṣù márùn.
Ohun taa gbọ ni pe lara awọn ẹkọ ti wọn fẹẹ kọ awọn obinrin ọhun ni ẹkọ nipa irun ṣiṣe lọṣọọ, bi wọn ṣe le gbe ọja wọn larugẹ fawọn onibaara, bi wọn ṣe le ṣeto inawo wọn lọna igbalọde, bi wọn ti n ṣe bata, ati bẹẹ bẹẹ lọ.	Ohun táa gbọ́ ni pé lára àwọn ẹ̀kọ́ tí wọ́n fẹ́ẹ́ kọ́ àwọn obìnrin ọ̀hún ní ẹ̀kọ́ nípa irun ṣíṣe lọ́ṣọ̀ọ́, bí wọ́n ṣe le gbé ọjà wọn lárugẹ fáwọn oníbàárà, bí wọ́n ṣe lè ṣètò ìnáwó wọn lọ́nà ìgbàlọ́dé, bí wọn ti ń ṣe bàtà, àti bẹ́ẹ̀ bẹ́ẹ̀ lọ.
Ninu ọrọ tiẹ, aya gomina Eko, Dokita Ibijọkẹ Sanwo-Olu rọ awọn ajọ aladaani yooku ki wọn dide fun iranwọ awọn obinrin to ku diẹ kaato fun.	Nínú ọ̀rọ̀ tiẹ̀, aya gómìnà Èkó, Dókítà Ìbíjọkẹ́ Sanwó-Olú rọ àwọn àjọ aládàáni yòókù kí wọ́n dìde fún ìrànwọ́ àwọn obìnrin tó kù díẹ̀ káàtó fún.
Arabinrin Ọlabisi Onigbanjo lo fiṣẹ naa ran sibi eto naa.	Arábìnrin Ọlábísí Onígbànjo ló fiṣẹ́ náà rán síbi ètò náà.
Arabinrin Nwamaka Onyemelukwe to ṣoju fun ileeṣẹ Coca-Cola Nigeria Limited, sọ pe igbesẹ ileeṣe oun wa ni ibamu pẹlu ileri ati ran awọn araalu lọwọ, ki eto ọrọ aje wọn le tete pada bọ sipo, pẹlu nnkan ti arun Korona foju awọn eeyan, paapaa awọn obinrin ri.	Arábìnrin Nwamaka Onyemelukwe tó ṣojú fún iléeṣẹ́ Coca-Cola Nigeria Limited, sọ pé ìgbésẹ̀ iléeṣé òun wà ní ìbámu pẹ̀lú ìlérí àti ran àwọn aráàlú lọ́wọ́, kí ètò ọrọ̀ ajé wọn le tètè padà bọ̀ sípò, pẹ̀lú nǹkan tí àrùn Kòrónà fojú àwọn èèyàn, pàápàá àwọn obìnrin rí.
O ni, ileeṣẹ oun ṣetan ati tẹ siwaju pẹlu iranlọwọ fun awọn obinrin to wa lawujọ.	Ó ní, iléeṣẹ́ òun ṣetán àti tẹ̀ síwájú pẹ̀lú ìrànlọ́wọ́ fún àwọn obìnrin tó wà láwùjọ.
Ọdun 2017 ni wọn da ajọ Karis and Eleos Hand of Hope Foundation silẹ, wọn gbe e kalẹ lati maa ran awọn obinrin atawọn ọdọbinrin to wa lawọn igberiko lọwọ.	Ọdún 2017 ni wọ́n dá àjọ Karis and Eleos Hand of Hope Foundation sílẹ̀, wọ́n gbé e kalẹ̀ láti máa ran àwọn obìnrin àtàwọn ọ̀dọ́bìnrin tó wà láwọn ìgbèríko lọ́wọ́.
Awọn ọmọ Naijiria ti wọn n wa lAmẹrika ree	Àwọn ọmọ Nàíjíríà tí wọn ń wà l’Ámẹ́ríkà rèé
Ajọ ọtẹlẹmuyẹ ilẹ Amẹrika ti wọn n pe ni The Federal Bureau of Investigation, FBI ti fi orukọ awọn eeyan mẹfa ti wọn jẹ ọmọ Naijiria ti wọn n ṣe gbajuẹ lori ẹrọ ayelujara sita Aarọ ọjọ Satide ni wọn forukọ awọn eeyan naa sita.	Àjọ ọ̀tẹlẹ̀múyẹ́ ilẹ̀ Amẹ́ríkà tí wọ́n ń pè ní The Federal Bureau of Investigation, FBI ti fi orúkọ àwọn èèyàn mẹ́fà tí wọ́n jẹ́ ọmọ Nàíjíríà tí wọ́n ń ṣe gbájúẹ̀ lórí ẹ̀rọ ayélujára síta Àárọ̀ ọjọ́ Sátidé ni wọ́n forúkọ àwọn èèyàn náà síta.
Awọn mẹfẹẹfa ni Alex Afọlabi Ogunṣakin, Richard Izuchukwu Uzuh, Felix Osilama Okpoh, Abiọla Ayọrinde Kayọde, Nnamdi Orson Benson ati Michael Ọlọrunyọmi.	Àwọn mẹ́fẹ̀ẹ̀fà ni Alex Afọlábí Ògúnṣakin, Richard Izuchukwu Uzuh, Felix Osilama Okpoh, Abíọ́lá Ayọ̀rìndé Káyọ̀dé, Nnamdi Orson Benson àti Michael Ọlọ́runyọmí.
Owo tiye rẹ to miliọnu mẹfa dọla ni wọn sọ pe awọn eeyan naa ti feru gba lọwọ awọn olohun.	Owó tíye rẹ̀ tó mílíọ́nù mẹ́fà dọ́là ni wọ́n sọ pé àwọn èèyàn náà ti fèrú gbà lọ́wọ́ àwọn olóhun.
Awọn ọtẹlẹmuyẹ naa sọ pe Ogunṣakin, Uzuh, Okpoh, Kayọde ati Benson tawọn n wa, gbajuẹ ni wọn n ṣe lori ẹrọ ayelujara, eru ni wọn fi n gba owo awọn eeyan lori intanẹẹti.	Àwọn ọ̀tẹlẹ̀múyẹ́ náà sọ pé Ògúnṣakin, Uzuh, Okpoh, Káyọ̀dé àti Benson táwọn ń wá, gbájúẹ̀ ni wọ́n ń ṣe lórí ẹ̀rọ ayélujára, èrú ni wọ́n fi ń gbá owó àwọn èèyàn lórí íntánẹ́ẹ̀tì.
Ṣugbọn Ọlọrunyọmi ni tiẹ, awọn oyinbo arugbo obinrin loun maa n fẹ lati gba dukia ati ohun ini wọn.	Ṣùgbọ́n Ọlọ́runyọmí ní tiẹ̀, àwọn òyìnbó arúgbó obìnrin lòun máa ń fẹ́ láti gba dúkìá àti ohun ìní wọn.
Nitori arun Korona, ijọba Eko ṣedanilẹkọọ fawọn ẹṣọ alaabo oju-omi	Nítorí àrùn Kòrónà, ìjọba Èkó ṣèdánilẹ́kọ̀ọ́ fáwọn ẹ̀ṣọ́ aláàbò ojú-omi
Ajọ ti n bojuto eto aabo nipinlẹ Eko, taa mọ si Lagos State Safety Commission ti tẹnumọ ipinnu rẹ lati pese aabo to peye fun awọn olugbe Eko, paapaa awọn to n rinrinajo lori omi.	Àjọ tí ń bójútó ètò ààbò nípínlẹ̀ Èkó, táa mọ̀ sí Lagos State Safety Commission ti tẹnumọ́ ìpinnu rẹ̀ láti pèsè ààbò tó péye fún àwọn olùgbé Èkó, pàápàá àwọn tó ń rìnrìnàjò lórí omi.
Ninu atẹjade kan ti ọga agba ileeṣẹ naa, Ọgbẹni Lanre Mọjọla fi ranṣẹ sileeṣẹ iwe iroyin Aṣejere ni wọn ti sọrọ naa pe, pẹlu ajọṣepọ ileeṣẹ to n ri si iṣẹ idagbasoke ilu to maa n ku ki ọjọ ọla dara, eyi ti wọn n pe ni Office of the Sustainable Development Goals, ati ileeṣẹ to n ṣakoso igbokegbodo ọkọ loju omi, iyẹn Lagos State Waterways Authority, pẹlu ileeṣẹ oun ti kọ awọn oṣiṣẹ mejidinlaaadọta lẹkọọ nipa eto aabo lori omi, paapaa lasiko arun Korona yii.	Nínú àtẹ̀jáde kan tí ọ̀gá àgbà iléeṣẹ́ náà, Ọ̀gbẹ́ni Láńre Mọjọlá fi ránṣẹ́ síléeṣẹ́ ìwé ìròyìn Àṣejèrè ni wọ́n ti sọ̀rọ̀ náà pé, pẹ̀lú àjọṣepọ̀ iléeṣẹ́ tó ń rí sí iṣẹ́ ìdàgbàsókè ìlú tó máa ń kú kí ọjọ́ ọ̀la dára, èyí tí wọn ń pè ní Office of the Sustainable Development Goals, àti iléeṣẹ́ tó ń ṣàkóso ìgbòkègbodò ọkọ̀ lójú omi, ìyẹn Lagos State Waterways Authority, pẹ̀lú iléeṣẹ́ òun ti kọ́ àwọn òṣìṣẹ́ méjìdínláàádọ́ta lẹ́kọ̀ọ́ nípa ètò ààbò lórí omi, pàápàá lásìkò àrùn Kòrónà yìí.
Ọga agba ileeṣẹ to n ri si iṣẹ idagbasoke ilu to maa n ku ki ọjọ ọla dara, Arabinrin Ṣọlape Hammond, Ọgbẹni Lanre Mọjọla, ati ọga agba ajọ LASWA, Ọgbẹni Damilọla Emmanuel dupẹ lọwọ awọn ti wọn yọnda ara wọn lati ṣiṣẹ fun eto aabo oju omi  nipinlẹ naa, bakan naa ni wọn ran araalu leti pe ki wọn ma gbagbe pe arun Korona si wa nita to n ja rain-rain.	Ọ̀gá àgbà iléeṣẹ́ tó ń rí sí iṣẹ́ ìdàgbàsókè ìlú tó máa ń kù kí ọjọ́ ọ̀la dára, Arábìnrin Ṣọlápé Hammond, Ọ̀gbẹ́ni Láńre Mọjọlá, àti ọ̀gá àgbà àjọ LASWA, Ọ̀gbẹ́ni Dámilọ́lá Emmanuel dúpẹ́ lọ́wọ́ àwọn tí wọ́n yọ̀nda ara wọn láti ṣiṣẹ́ fún ètò ààbò ojú omi  nípínlẹ̀ náà, bákan náà ni wọ́n rán aráàlú létí pé kí wọ́n má gbàgbé pé àrùn Kòrónà sì wà níta tó ń jà ràìn-ràìn.
Mọjọla tun sọ pe lara iṣẹ tawọn oṣiṣẹ alaabo yii yoo maa ṣe ni lati ri i pe awọn to fẹẹ wọkọ oju omi wọ awọn aṣọ idaabobo ki wọn si pa ofin aabo mọ ko too di pe wọn wọkọ oju omi ni awọn ibudokọ kaakiri ipinlẹ yii.	Mọjọlá tún sọ pé lára iṣẹ́ táwọn òṣìṣẹ́ aláàbò yìí yóò máa ṣe ni láti rí i pé àwọn tó fẹ́ẹ́ wọkọ̀ ojú omi wọ àwọn aṣọ ìdáàbòbò kí wọ́n sì pa òfin ààbò mọ́ kó tóo di pé wọn wọkọ̀ ojú omi ní àwọn ibùdokọ̀ káàkiri ìpínlẹ̀ yìí.
O ni, o ṣe pataki lati mu eto aabo lookunkundun lori omi, nitori naa lawọn ajọ mẹtẹẹta yii ṣe pawọpọ ṣeto idanilẹkọọ fun awọn ti wọn yọnda ara wọn lati maa ṣeto aabo fun awọn to n wọ ọkọ loju omi naa.	Ó ní, ó ṣe pàtàkì láti mú ètò ààbò lóòkúnkúndùn lórí omi, nítorí náà làwọn àjọ mẹ́tẹ̀ẹ̀ta yìí ṣe pawọ́pọ̀ ṣètò ìdánilẹ́kọ̀ọ́ fún àwọn tí wọ́n yọ̀nda ara wọn láti máa ṣètò ààbò fún àwọn tó ń wọ ọkọ̀ lójú omi náà.
Bakan naa lo si tun ran awọn ileegbafẹ atawọn ile ọti nimọran ki wọn tẹle awọn ofin ti ijọba ti la kalẹ fun arun Korona, bẹẹ ni kẹnikẹni ti ko ba i ti i gba aṣẹ lọwọ ijọba ma ṣe ṣilẹkun ibi iṣẹ rẹ fawọn araalu.	Bákan náà ló sì tún ran àwọn iléègbafẹ́ àtàwọn ilé ọtí nímọ̀ràn kí wọn tẹ̀lé àwọn òfin tí ìjọba ti là kalẹ̀ fún àrùn Kòrónà, bẹ́ẹ̀ ni kẹ́nikẹ́ni tí kò bá ì tí ì gbà àṣẹ lọ́wọ́ ìjọba má ṣe ṣílẹ̀kùn ibi iṣẹ́ rẹ̀ fáwọn aráàlú.
Ṣugbọn kiru awọn bẹẹ kan sileeṣẹ ọhun lori ẹrọ ayelujara	Ṣùgbọ́n kírú àwọn bẹ́ẹ̀ kàn síléeṣẹ́ ọ̀hún lórí ẹ̀rọ ayélujára
Ko si asọtẹlẹ tẹnikan tun le sọ nipa Asiwaju mọ, Ọlọrun ti yan an lati gba Naijiria silẹ  Ogedengbe	Kò sí àsọtẹ́lẹ̀ tẹ́nìkan tún le sọ nípa Asíwájú mọ́, Ọlọ́run ti yàn án láti gba Nàíjíríà sílẹ̀ – Ògèdèngbé
Ojuoluwakotimi Olusina	Ojúolúwakòtìmí Olúsínà
Alakooso ileejosin Overcomers Pentecostal Prayer Assembly, Omowe Sam Ogedengbe ti sọ ọ di mimo pe Ọlọrun ti yan Asiwaju Bola Ahmed Tinubu gẹgẹ bii eniyan ọtọ, o ni ko tun sohun ti wolii tabi enikan tun lee sọ nipa rẹ mọ nitori lati inu oyun ni Olorun ti yan an fun orilẹ-ede Naijiria.	Alákòóso iléèjósìn Overcomers Pentecostal Prayer Assembly, Òmòwé Sam Ògèdèngbé ti sọ ọ́ di mímò pé Ọlọ́run ti yan Asíwájú Bólá Ahmed Tinúbú gẹ́gẹ́ bíi ènìyàn ọ̀tọ̀, ó ní kò tún sóhun tí wòlíì tàbí enìkan tún leè sọ nípa rẹ̀ mọ́ nítorí láti inú oyún ni Olórun ti yàn án fún orílẹ̀-èdè Nàíjíríà.
Nibi ayẹyẹ ipagọ ijọ naa ni Ojiṣẹ Ọlọrun yii ti sọro naa di mimọ nigba to n ba ikọ Aṣejere sọrọ laipẹyii.	Níbi ayẹyẹ ìpàgọ́ ìjọ náà ni Òjíṣẹ́ Ọlọ́run yìí ti sọ̀rò náà di mímọ̀ nígbà tó ń bá ikọ̀ Àṣejèrè sọ̀rọ̀ láìpẹ́yìí.
Ipagọ ọhun ni ijọ Overcomers tun fi n saami ayẹyẹ ọdun kẹrinlelogun ti won da ijọ naa silẹ, to si tun papọ pẹlu ayẹyẹ ọjọọbi oludasile ijọ naa, Refureeni Sam Ogedengbe.	Ìpàgọ́ ọ̀hún ni ìjọ Overcomers tún fi ń sààmì ayẹyẹ ọdún kẹrìnlélógún tí wón dá ìjọ náà sílẹ̀, tó sì tún papọ̀ pẹ̀lú ayẹyẹ ọjọ́ọ̀bí olùdásílè ìjọ náà, Refureeni Sam Ògèdèngbé.
Olu ijọ naa to wa ni Abule Ẹgba lEkoo ni won ti sayẹyẹ yii.	Olú ìjọ náà tó wà ní Abúlé Ẹ̀gbá l’Ékòó ni wón ti sayẹyẹ yìí.
Nigba to n ba akọroyin wa sọrọ, Ogedengbe to tun ti figba kan jẹ oluranlọwọ pataki fun gomina ipinlẹ Eko lori ọrọ ẹsin Kristẹni sọ pe Ọlọrun ti fi Tinubu ṣe agbẹnusọ fun orilẹ-ede yii, ẹni taa si gbọdọ dupẹ fun igbesi aye rẹ ni nitori Ọlọrun ti fi jinnki Naijiria.	Nígbà tó ń bá akọ̀ròyìn wa sọ̀rọ̀, Ògèdèngbé tó tún ti fìgbà kan jẹ́ olùrànlọ́wọ́ pàtàkì fún gómìnà ìpínlẹ̀ Èkó lórí ọ̀rọ̀ ẹ̀sìn Krìstẹ́nì sọ pé Ọlọ́run ti fi Tinúbú ṣe agbẹnusọ fún orílẹ̀-èdè yìí, ẹni táa sì gbọdọ̀ dúpẹ́ fún ìgbésí ayé rẹ̀ ni nítorí Ọlọ́run ti fi jínǹkí Nàíjíríà.
O ni, Ọlọrun lo yan an lati gba Naijiria silẹ.	Ó ní, Ọlọ́run ló yàn án láti gba Nàíjíríà sílẹ̀.
Emi maa n sọ o, Ọlọrun ti fun un loore ọfẹ, o ti fi i ṣe ohun fun orilẹ-ede Naijiria, paapaa lẹka eto oṣelu, ko tun si aṣọtẹlẹ kan to tun le ṣe lori rẹ mọ, nitori Ọlọrun funra rẹ ti sọ tẹlẹ nipa rẹ latigba to ti wa ninu oyun, gẹgẹ bii Jeremiah.	“Èmi máa ń sọ ó, Ọlọ́run ti fún un lóore ọ̀fẹ́, ó ti fi í ṣe ohun fún orílẹ̀-èdè Nàíjíríà, pàápàá lẹ́ka ètò òṣèlú, kò tún sí àṣọtẹ́lẹ̀ kan tó tún lè ṣe lórí rẹ̀ mọ́, nítorí Ọlọ́run fúnra rẹ̀ ti sọ tẹ́lẹ̀ nípa rẹ̀ látìgbà tó ti wà nínú oyún, gẹ́gẹ́ bìí Jeremiah.
Mo dupẹ lọwọ Ọlọrun fun Aṣiwaju nitori o n tele ilana Ọlọrun fun igbesi aye rẹ, nitori ẹ lo ṣe jẹ pe igbakugba to ba tie kuna, kii mi i, ṣe lo tun maa tun ọna rẹ to, ti yoo maa tẹ siwaju, ẹ o le ri ikuna yẹn lọju rẹ rara, nitori o ti mọ pe ohun ko ni i kuna lọla.	“Mo dúpẹ́ lọ́wọ́ Ọlọ́run fún Aṣíwájú nítorí ó ń tèlé ìlànà Ọlọ́run fún ìgbésí ayé rẹ̀, nítorí ẹ̀ ló ṣe jẹ́ pé ìgbàkúgbà tó bá tiè kùnà, kìí mì í, ṣe ló tún maa tún ọ̀nà rẹ̀ tò, tí yóò máa tẹ̀ síwájú, ẹ ò le rí ìkùnà yẹn lọ́jú rẹ̀ rárá, nítorí ó ti mọ̀ pé òhun kò ní í kùnà lọ́la.
Mo ki i ku oriire.	Mo kí i kú oríire.
Nipa ti arun Korona to n gbilẹ nigbooro, Rẹfurẹẹni ohun rọ ijọba apapọ ati ti ipinlẹ lati rawọ ẹbẹ si Ọlọrun ninu adura ati aawẹ ki opin lee de ba ajakalẹ arun naa kiakia.	Nípa ti àrùn Kòrónà tó ń gbilẹ̀ nígbooro, Rẹ́fúrẹ́ẹ̀nì òhún rọ ìjọba àpapọ̀ àti ti ìpínlẹ̀ láti rawọ́ ẹ̀bẹ̀ sí Ọlọ́run nínú àdúrà àti ààwẹ̀ kí òpin leè dé bá àjàkálẹ̀ àrùn náà kíákíá.
O ni arun Korona kii ṣe oju lasan, nitori eeyan ko gbọdọ foju ẹran ara wo o, ṣugbon gbogbo wa gbọdọ foju ẹmi wo o.	Ó ní àrùn Kòrónà kìí ṣe ojú lásán, nítorí èèyàn kò gbọdọ̀ fojú ẹran ara wò ó, ṣùgbón gbogbo wa gbọdọ̀ fojú ẹ̀mí wò ó.
Akọni obinrin ta o le gbagbe laelae ni Mama Mọgaji Toyin Afọlabi	Akọni obìnrin ta ò le gbàgbé láéláé ni Màmá Mọ́gàjí– Tóyìn Afọ́lábí
Oni lo pe ọdun keje ti Iyalọja gbogbo ilẹ Naijiria tẹlẹ, Alaaja Ọmọwe Abibatu Aṣabi Mọgaji jade laye.	Òní ló pé ọdún keje tí Ìyálọ́jà gbogbo ilẹ̀ Nàíjíríà tẹ́lẹ̀, Àlàájà Ọ̀mọ̀wé Àbíbátù Àṣàbí Mọ́gàjí jáde láyé.
Ọjọ kẹẹdogun, oṣu kẹfa, ọdun 2013 ni Iyalọja naa jade laye lẹni ọdun mẹrindinlọgọrun-un.	Ọjọ́ kẹẹ̀dógún, oṣù kẹfà, ọdún 2013 ni Ìyálọ́jà náà jáde láyé lẹ́ni ọdún mẹ́rìndínlọ́gọ́rùn-ún.
Lara awọn to ṣeranti mama ọhun lọdun yii ni Iyalaje Jẹnẹra ti gbogbo ilu Eko, Alaaja Oloye Balqis Toyin Afọlabi.	Lára àwọn tó ṣèrántí màmá ọ̀hún lọ́dún yìí ni Ìyálájé Jẹ́nẹ́rà ti gbogbo ìlú Èkó, Àlàájà Olóyè Balqis Tóyìn Afọlábí.
Nigba to n ba awọn oniroyin sọrọ lEkoo, Iyalaje ni, akọni obinrin teeyan ko le gbagbe ni Mama Mọgaji, o duro ti awọn ọlọja nipinlẹ Eko, ati kaakiri orilẹ-ede yii.	Nígbà tó ń bá àwọn oníròyìn sọ̀rọ̀ l’Ékòó, Ìyálájé ni, akọni obìnrin téèyàn kò le gbàgbé ni Màmá Mọ́gàjí, ó dúró ti àwọn ọlọ́jà nìpínlẹ̀ Èkó, àti káàkiri orílẹ̀-èdè yìí.
Toyin Afọlabi ni, Mama Mọgaji ko jẹ gba kẹnikan fẹtọ awọn ọlọja du u, eyi lo fa a ti awọn ọlọja fi mọ asiko naa si rere, nitori o duro ti ọlọja, ko si jẹ kiya jẹ wọn rara.	Tóyìn Afọlábí ni, Màmá Mọ́gàjí kò jẹ́ gbà kẹ́nìkan fẹ̀tọ́ àwọn ọlọ́jà dù ú, èyí ló fà á tí àwọn ọlọ́jà fi mọ àsìkò náà sí rere, nítorí ó dúró ti ọlọ́jà, kò sì jẹ́ kíyà jẹ wọ́n rárá.
O ni, o ṣe pataki lati maa ṣeranti rẹ lọdọọdun, ki awọn iran to n bọ lẹyin le mọ ipa ribiribi to ko ninu iṣẹ ọrọ aje ati paapaa oṣelu lorilẹ-ede yii.	Ó ní, ó ṣe pàtàkì láti máa ṣèrántí rẹ̀ lọ́dọọdún, kí àwọn ìran tó ń bọ̀ lẹ́yìn lè mọ ipa ribiribi tó kó nínú iṣẹ́ ọrọ̀ ajé àti pàápàá òṣèlú lórílẹ̀-èdè yìí.
Orilẹ-ede Naijiria fi oye nla da Mama Mọgaji lọla nigba ti wọn ri iṣẹ ribiribi to ṣe lẹnu okoowo, bẹẹ lo si tun gba ami ẹyẹ lawọn ileewe giga bii Ahmadu Bello University to wa niluu Zaria ati University of Lagos to wa lEkoo.	Orílẹ̀-èdè Nàíjíríà fi oyè ńlá dá Màmá Mọ́gàjí lọ́lá nígbà tí wọ́n rí iṣẹ́ ribiribi tó ṣe lẹ́nu okoòwò, bẹ́ẹ̀ ló sì tún gba àmì ẹ̀yẹ láwọn iléèwé gíga bíi Ahmadu Bello University tó wà nílùú Zaria àti University of Lagos tó wà l’Ékòó.
Gbese ree!	Gbèsè rèé!
Ijọba lu awọn mọto to tapa sofin Eko ni gbanjo	Ìjọba lu àwọn mọ́tò tó tàpá sófin Èkó ní gbànjo
Gbogbo awọn mọto to tapa sofin, paapaa awọn to gba oju ọna ti ko yẹ ki wọn gba, ti ọwọ awọn agbofinro tẹ nipinlẹ Eko ni ijọba ti lu ni gbanjo.	Gbogbo àwọn mọ́tò tó tàpá sófin, pàápàá àwọn tó gba ojú ọ̀nà tí kò yẹ kí wọn gbà, tí ọwọ́ àwọn agbófinró tẹ̀ ńìpínlẹ̀ Èkó ni ìjọba ti lù ní gbànjo.
Ohun taa gbọ ni pe ofin to de eto igbokegbodo ọkọ ipinlẹ Eko tọdun 2018, ti wọn pe ni Transport Sector Reform of 2018 ni wọn fi da sẹria fawọn eeyan naa.	Ohun táa gbọ́ ni pé òfin tó de ètò ìgbòkègbodò ọkọ̀ ìpínlẹ̀ Èkó tọdún 2018, tí wọn pè ní Transport Sector Reform of 2018 ni wọ́n fi dá sẹ̀ríà fáwọn èèyàn náà.
Adebayọ Taofiq to jẹ agbẹnusọ ileeṣẹ to gbogun ti iwa ibajẹ nipinlẹ Eko ninu ọrọ to sọ fawọn oniroyin sọ pe lilu awọn ọkọ naa ni gbanjo kii ṣe lati da sẹria fẹnikẹni, ṣugbọn lati ba awọn to ṣẹ wi ni.	Adebayọ Taofiq tó jẹ́ agbẹnusọ iléeṣẹ́ tó gbógun ti ìwà ìbàjẹ́ ńìpínlẹ̀ Èkó nínú ọ̀rọ̀ tó sọ fáwọn oníròyìn sọ pé lílu àwọn ọkọ̀ náà ní gbànjo kìí ṣe láti dá sẹ̀ríà fẹ́nikẹ́ni, ṣùgbọ́n láti bá àwọn tó ṣẹ wí ni.
O ni, ijọba ti kọkọ gbe gbogbo wọn lọ sileẹjọ, ileẹjọ lo gbẹsẹ le awọn mọto naa fun ijọba ipinlẹ Eko.	Ó ní, ìjọba ti kọ́kọ́ gbé gbogbo wọn lọ síléẹjọ́, iléẹjọ́ ló gbẹ́sẹ̀ lé àwọn mọ́tò náà fún ìjọba ìpínlẹ̀ Èkó.
Kaa to lu awọn mọto naa ni gbanjo, a ti kọkọ kede rẹ sita faraye pe a fẹẹ lu wọn ni gbanjo, gbogbo awọn tọrọ naa si kan la ranṣẹ si, paapaa awọn tijọba gbẹsẹ le mọto wọn.	“Káá tó lu àwọn mọ́tò náà ní gbànjo, a ti kọ́kọ́ kéde rẹ̀ síta fáráyé pé a fẹ́ẹ́ lù wọ́n ní gbànjo, gbogbo àwọn tọ́rọ̀ náà sì kàn la ránṣẹ́ sí, pàápàá àwọn tíjọba gbẹ́sẹ̀ lé mọ́tò wọn.
Ọpọ awọn ọkọ ati ọkada ti wọn tako ofin irinna lEkoo ni ijọba gbẹsẹ le.	Ọ̀pọ̀ àwọn ọkọ̀ àti ọ̀kadà tí wọ́n tako òfin ìrìnnà l’Ékòó ni ìjọba gbẹ́sẹ̀ lé.
Pupọ ninu awọn to ni ọkada ati ọkọ ni wọn pẹju sibi ti wọn ti lu awọn mọto naa ni gbajo.	Púpọ̀ nínú àwọn tó ní ọ̀kadà àti ọkọ̀ ni wọ́n pẹ́jú síbi tí wọ́n ti lu àwọn mọ́tò náà ní gbàjo.
Dapọ Abiọdun fẹẹ paarọ yunifọọmu awọn ọmọleewe sAdirẹ	Dàpọ̀ Abíọ́dún fẹ́ẹ́ pààrọ̀ yúnífọ́ọ̀mù àwọn ọmọléèwé s’Ádìrẹ
